kod#,Chip pin,ADC,ADCChan,Timer,TimChan,AF0,,Peripheral1,AF1,Peripheral2,AF2,ROBI,,,,pin defs,,"""Teensy"" pin"
0,PE2,,,,,,,,,,,,,,,extern const uint8_t PE2;,,D0
1,PE3,,,,,,,,,,,,,,,extern const uint8_t PE3;,,D1
2,PE4,,,,,,,,,,,,,,,extern const uint8_t PE4;,,D2
3,PE5,,,,,,,,,,,,,,,extern const uint8_t PE5;,,D3
4,PE6,,,,,,,,,,,,,,,extern const uint8_t PE6;,,D4
5,PC13,,,,,,,,,,,,,,,extern const uint8_t PC13;,,D5
6,PC0,123,10,,,,,,,,,cs4,,,,extern const uint8_t PC0;,,D6/A10
7,PC1,123,11,,,,,,,,,cs5,,,,extern const uint8_t PC1;,,D7/A11
8,PC2,123,12,,,,,SPI2_MISO,6,,,cs6,,,,extern const uint8_t PC2;,,D8/A12
9,PC3,123,13,,,,,SPI2_MOSI,6,,,cs7,,,,extern const uint8_t PC3;,,D9/A13
10,PA0,123,0,5,1,2,,,,,,pwm5,,,,extern const uint8_t PA0;,,D10/A0
11,PA1,123,1,5,2,2,,,,,,pwm6,,,,extern const uint8_t PA1;,,D11/A1
13,PA2,123,2,5,3,2,,USART2_TX,7,,,pwm7,,,,extern const uint8_t PA3;,,D13/A3
12,PA3,123,3,5,4,2,,USART2_RX,7,,,pwm8,,,,extern const uint8_t PA2;,,D12/A2
14,PA4,12,4,,,,,DAC_OUT1,,,,cs3,,,,extern const uint8_t PA4;,,D14/A4
15,PA5,12,5,2,1,1,,DAC_OUT2,,LED_D2,,sck1,LED D2,5,SPI1_SCK,extern const uint8_t PA5;,,D15/A5
16,PA6,12,6,3,1,2,,SPI1_MISO,5,LED_D3,,miso1,LED D3,,,extern const uint8_t PA6;,,D16/MISO1
17,PA7,12,7,3,2,2,,,,SPI1_MOSI,5,mosi1,,,,extern const uint8_t PA7;,,D17/A7
18,PC4,12,14,,,,,,,,,cs8,,,,extern const uint8_t PC4;,,D18/A14
19,PC5,12,15,,,,,,,,,vmeasbatt,,,,extern const uint8_t PC5;,,D19/A15
20,PB0,12,8,3,3,2,,,,,,cs1,,,,extern const uint8_t PB0;,,D20/A5
21,PB1,12,9,3,4,2,,,,,,cs2,,,,extern const uint8_t PB1;,,D21/A6
22,PE7,,,,,,,,,,,,,,,extern const uint8_t PE7;,,
23,PE8,,,,,,,,,,,,,,,extern const uint8_t PE8;,,
24,PE9,,,,,,,,,,,,,,,extern const uint8_t PE9;,,
25,PE10,,,,,,,,,,,,,,,extern const uint8_t PE10;,,
26,PE11,,,,,,,,,,,,,,,extern const uint8_t PE11;,,
27,PE12,,,,,,,,,,,,,,,extern const uint8_t PE12;,,
28,PE13,,,,,,,,,,,,,,,extern const uint8_t PE13;,,
29,PE14,,,,,,,,,,,,,,,extern const uint8_t PE14;,,
30,PE15,,,,,,,,,,,,,,,extern const uint8_t PE15;,,
31,PB10,,,2,3,2,,I2C2_SCL,4,,,pwm3,,,,extern const uint8_t PB10;,,D31/SCL1
32,PB11,,,2,4,2,,I2C2_SDA,4,,,pwm4,,,,extern const uint8_t PB11;,,D32/SDA1
33,PB12,,,,,,,,,,,ss2,NSS2,,,extern const uint8_t PB12;,,
34,PB13,,,,,,,,,,,ss3,,,,extern const uint8_t PB13;,,
35,PB14,,,12,1,9,,,,,,ss4,spi3_cs_flash,,,extern const uint8_t PB14;,,
36,PE1,,,,,,,,,,,,,,,extern const uint8_t PE1;,,
37,PE0,,,,,,,,,,,,,,,extern const uint8_t PE0;,,
38,PB9,,,4,4,2,,I2C1_SCL,4,,,dir2,,,,extern const uint8_t PB9;,,D38/SCL1
39,PB8,,,4,3,2,,I2C1_SDA,4,,,dir1,,,,extern const uint8_t PB8;,,D39/SDA1
40,PB7,,,4,2,2,,,,,,i2c1,7,USART1_RX,,extern const uint8_t PB7;,,D40
41,PB6,,,4,1,2,,,,,,i2c1,7,USART1_TX,,extern const uint8_t PB6;,,D41
42,PB5,,,3,2,2,,SPI1_MOSI,5,SPI3_MOSI,6,ss1,,,,extern const uint8_t PB5;,,D42/MOSI1
43,PB3,,,2,2,1,,SPI1_SCK,5,SPI3_SCK,6,pwm2,,,,extern const uint8_t PB3;,,D43/SCK1
44,PD7,,,,,,,,,,,,,,,extern const uint8_t PD7;,,
45,PD6,,,,,,,,,,,,,,,extern const uint8_t PD6;,,
46,PD5,,,,,,,,,,,,,,,extern const uint8_t PD5;,,
47,PD4,,,,,,,,,,,,,,,extern const uint8_t PD4;,,
48,PD3,,,,,,,,,,,,,,,extern const uint8_t PD3;,,
49,PD2,,,,,,,SDIO_CMD,,,,sdio,,,,extern const uint8_t PD2;,,D49/SDIO_CMD
50,PD1,,,,,,,,,,,,,,,extern const uint8_t PD1;,,
51,PD0,,,,,,,,,,,,,,,extern const uint8_t PD0;,,
52,PC12,,,,,,,SDIO_CK,,,12,sdio,,,,extern const uint8_t PC12;,,D52/SDIO_CK
53,PC11,,,,,,,SDIO_D3,,,12,sdio,,,,extern const uint8_t PC11;,,D53/SDIO_D3
54,PC10,,,,,,,SDIO_D2,,,12,sdio,,,,extern const uint8_t PC10;,,D54/SDIO_D2
55,PA15,,,2,1,1,,,,,,pwm1,,,,extern const uint8_t PA15;,,
56,PA12,,,,,,,,,USB_DP,,dir5,,,,extern const uint8_t PA12;,,
57,PA11,,,1,4,1,,,,USB_DM,,di4,,,,extern const uint8_t PA11;,,
58,PA10,,,1,3,1,,USART1_RX,8,,,boot/comm,,,,extern const uint8_t PA10;,,Bootloader/RX1
59,PA9,,,1,2,1,,USART1_TX,8,,,boot/comm,,,,extern const uint8_t PA9;,,Bootloader/TX1
60,PA8,,,1,1,1,,,,,,dir3,,,,extern const uint8_t PA8;,,
61,PC9,,,8,4,3,,SDIO_D1,,,12,sdio,,,,extern const uint8_t PC9;,,D61/SDIO_D1
62,PC8,,,8,3,3,,SDIO_D0,,,12,sdio,,,,extern const uint8_t PC8;,,D62/SDIO_D0
63,PC7,,,8,2,3,,USART6_RX,8,,,serial6 / sd_en (solder jumper),,,,extern const uint8_t PC7;,,D63/RX6
64,PC6,,,8,1,3,,USART6_TX,8,,,serial6 / sd_cd (solder jumper),,,,extern const uint8_t PC6;,,D64/TX6
65,PD15,,,,,,,,,,,,,,,extern const uint8_t PD15;,,
66,PD14,,,,,,,,,,,,,,,extern const uint8_t PD14;,,
67,PD13,,,,,,,,,,,,,,,extern const uint8_t PD13;,,
68,PD12,,,,,,,,,,,,,,,extern const uint8_t PD12;,,
69,PD11,,,,,,,,,,,,,,,extern const uint8_t PD11;,,
70,PD10,,,,,,,,,,,,,,,extern const uint8_t PD10;,,
71,PD9,,,,,,,USART3_RX,7,,,,,,,extern const uint8_t PD9;,,
72,PD8,,,,,,,USART3_TX,7,,,,,,,extern const uint8_t PD8;,,
73,PB15,,,12,2,9,,SPI2_MOSI,5,,,ss5,,,,extern const uint8_t PB15;,,D73/MOSI2
74,PA13,,,,,,,,,,,ss6,,,,extern const uint8_t PA13;,,
75,PA14,,,,,,,,,,,ss7,,PC14,XTAL,extern const uint8_t PA14;,,
76,PB4,,,3,1,1,,SPI3_MISO,6,SPI1_MISO,5,ssimu,,PC15,XTAL,extern const uint8_t PB4;,,D76/MISO3
77,PB2,,,,,,,,,,,ss8,BOOT1,PH1,XTAL,extern const uint8_t PB2;,,
78,PC14,,,,,,,,,,,,XTAL,PH0,XTAL,extern const uint8_t PC14;,,
79,PC15,,,,,,,,,,,,XTAL,,,extern const uint8_t PC15;,,
